Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
Ironhoof Boar,R,C,129667,6.12,19738,8.54,58960,54.8%,11919,52.7%,19184,56.0%,31103,54.7%,30870,54.6%,0.1pp
Replication Specialist,U,U,29606,3.31,8385,3.91,32945,53.5%,6137,52.3%,12569,55.9%,18706,54.7%,16378,52.1%,2.6pp
Towashi Songshaper,R,C,134497,6.75,20673,9.10,52248,55.1%,13942,56.2%,20675,53.7%,34617,54.7%,24682,55.5%,-0.8pp
Armguard Familiar,U,C,128603,5.93,18991,8.44,54878,53.8%,12154,52.4%,23097,55.8%,35251,54.6%,25561,53.4%,1.3pp
"Greasefang, Okiba Boss",WB,R,8000,2.69,2059,2.93,5782,52.5%,1020,52.8%,1781,55.5%,2801,54.6%,3188,50.7%,3.8pp
"Sokenzan, Crucible of Defiance",R,R,9989,2.98,2535,3.54,10643,55.1%,1906,54.6%,2629,54.5%,4535,54.5%,6165,55.5%,-1.0pp
"Norika Yamazaki, the Poet",W,U,31494,3.26,6726,4.18,29651,54.1%,5697,52.1%,9498,55.8%,15195,54.5%,15905,53.8%,0.6pp
"Nashi, Moon Sage's Scion",B,M,2039,1.35,1460,1.35,7076,54.2%,1223,53.1%,2162,55.1%,3385,54.4%,3918,54.2%,0.3pp
Grafted Growth,G,C,138564,7.32,19488,10.33,33853,54.0%,6671,53.1%,11691,55.2%,18362,54.4%,17434,53.5%,0.9pp
Mnemonic Sphere,U,C,137840,6.81,19230,9.73,40109,53.7%,8140,52.0%,14345,55.8%,22485,54.4%,19805,53.3%,1.1pp
Papercraft Decoy,,C,139863,6.50,20481,9.33,51308,54.7%,10897,52.4%,18194,55.5%,29091,54.4%,26639,55.2%,-0.8pp
Regent's Authority,W,C,145067,7.82,15135,11.48,12973,54.3%,2200,54.4%,3774,54.3%,5974,54.3%,7200,54.2%,0.1pp
March of Swirling Mist,U,R,12963,3.96,2401,5.11,6092,53.7%,888,49.9%,1880,56.4%,2768,54.3%,3347,53.2%,1.1pp
Ecologist's Terrarium,,C,127262,5.42,19676,7.83,57781,53.7%,11813,52.8%,17560,55.3%,29373,54.3%,30246,53.3%,1.0pp
Flame Discharge,R,U,30775,3.27,7881,4.02,34031,54.2%,6544,53.3%,9591,54.9%,16135,54.3%,18794,54.1%,0.1pp
Brute Suit,,C,138374,6.62,15528,9.89,28726,54.4%,5408,54.4%,8652,54.2%,14060,54.3%,15602,54.5%,-0.3pp
Covert Technician,U,U,41929,4.51,6797,6.20,24012,53.6%,4579,53.3%,8879,54.7%,13458,54.3%,12338,53.2%,1.1pp
"Hinata, Dawn-Crowned",WUR,R,9564,3.12,1991,3.64,3724,50.4%,666,53.9%,1302,54.3%,1968,54.2%,1924,47.0%,7.2pp
Kaito's Pursuit,B,C,145901,8.26,16252,12.04,9041,54.9%,1636,52.3%,2725,55.2%,4361,54.1%,4830,55.4%,-1.3pp
Network Terminal,,C,140015,6.86,18873,9.88,36795,53.0%,7137,52.8%,11311,54.8%,18448,54.0%,19216,52.2%,1.8pp
Swiftwater Cliffs,UR,B,52443,7.49,9204,10.16,21462,53.6%,4239,55.9%,6390,52.7%,10629,54.0%,11169,53.5%,0.5pp
Befriending the Moths,W,C,120763,4.80,18151,6.76,58759,53.7%,11433,50.4%,21451,55.9%,32884,54.0%,29870,53.6%,0.4pp
Bronzeplate Boar,R,U,38230,3.97,7595,5.19,32669,54.4%,6444,53.5%,9674,54.3%,16118,53.9%,17940,54.5%,-0.6pp
Saiba Trespassers,U,C,143457,7.63,18166,10.92,23582,53.3%,4017,50.1%,8800,55.7%,12817,53.9%,11910,52.9%,1.1pp
Webspinner Cuff,G,U,46479,4.93,8250,6.74,29998,54.5%,5541,52.4%,9752,54.7%,15293,53.8%,16322,54.7%,-0.8pp
Short Circuit,U,C,147668,8.64,16759,12.34,7861,53.1%,1482,52.2%,2893,54.5%,4375,53.8%,3879,52.3%,1.5pp
Bloodfell Caves,BR,B,51029,6.94,8984,9.60,26045,54.6%,4976,56.0%,6868,52.1%,11844,53.7%,14467,55.3%,-1.6pp
Rugged Highlands,RG,B,52926,7.64,9134,10.40,19347,53.2%,3783,55.1%,4958,52.7%,8741,53.7%,10834,52.8%,0.9pp
"Risona, Asari Commander",WR,R,8537,2.86,1942,3.20,5921,51.6%,1092,54.0%,1590,53.4%,2682,53.7%,3373,50.2%,3.5pp
Invigorating Hot Spring,RG,U,45528,5.33,7814,7.04,17158,52.9%,3548,53.2%,5712,53.9%,9260,53.6%,9009,52.2%,1.4pp
Roaring Earth,G,U,29864,3.26,7505,3.92,32205,54.1%,6360,54.0%,10589,53.4%,16949,53.6%,17024,54.2%,-0.6pp
Scrap Welder,R,R,10428,3.25,2596,3.76,9686,54.6%,1674,54.1%,2654,53.3%,4328,53.6%,5612,54.9%,-1.3pp
